,username,date,message,topic
0,Gazagog,29 novembre 2022 à 09:17:05," https://mobile.twitter.com/ProfSansFiltre/status/1597188739423698947, Il se demande la raison, votre explication ?  ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
1,Gazagog,29 novembre 2022 à 09:17:46," Attention il strike les mauvaises réponses , https://mobile.twitter.com/ProfSansFiltre/status/1597189640435294209 ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
2,JeanFlibuste-19,29 novembre 2022 à 09:18:27, Turbulented ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
3,Papignolles_1,29 novembre 2022 à 09:18:35," ""Prof sans filtre""    ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
4,ProGokuSSJ3LR,29 novembre 2022 à 09:19:01, Un gauchiste qui dit les termes mais qui n'assume pas sélection pour lui  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
5,Suppo2Satan,29 novembre 2022 à 09:19:45, En tout cas ça n'a rien à voir avec l'origine sociale ou ethnique forcément. Et ça peut pas venir de lui non plus sinon il poserait pas la question  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
6,tau_rho,29 novembre 2022 à 09:19:49, Marmito-gauchiste #ScrountchScrountch   ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
7,Baccalieri,29 novembre 2022 à 09:21:21, Prof sans filtre qui filtre ce qui va pas dans son sens Prof sans filtre qui a glissé son petit bulletin Macron pour faire barrage et qui vient chouiner sur les rs du fruit de l’arbre qu’il a planté  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
8,Raviolissou,29 novembre 2022 à 09:21:30, Elle est bien bonne pour quelqu'un qui filtre les réponses  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
9,__Balthazar__,29 novembre 2022 à 09:21:39, Lol c'est pas en éludant que ça va s'arranger ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
10,JanUllrichFDJ,29 novembre 2022 à 09:22:41,  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
11,Vasherno,29 novembre 2022 à 09:23:13," Les réponses me fument, ils font tout pour éviter de dire l'évidence  ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
12,CalmonsNosSexe,29 novembre 2022 à 09:23:20, ayaa « sans filtre » mais filtre les réponses ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
13,Pingouin_005,29 novembre 2022 à 09:23:21, Compris les fachos ?  ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
14,Groscharclo4,29 novembre 2022 à 09:23:29, Ça doit être en fonction du starter pokémon alors ,Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
15,Nonpl,29 novembre 2022 à 09:23:34," C'est un compte troll c'est pas possible , Si ca ne l'est pas.........alors ca fait quoi d'avoir a assumer les conséquences de ton vote  ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
16,Payper20Rivaol,29 novembre 2022 à 09:23:55," Prof sans filtre Ça n'existe pas, ou alors un ex prof , ""je strike les mauvaises réponses""C'est sûr que si on réduit le débat au cadre qu'il impose lui même on va pouvoir avancer  ",Ce PROF de SIXIÈME est à BOUT de NERFS à cause D'ÉLÈVES TURBULENTS !
